sentence,hiragana
サンプル,さんぷる
下校,げこう
ヒラメ,ひらめ
倉敷,くらしき
ズッキュン,ずっきゅん
太古,たいこ
プラズマ,ぷらずま
羊,ひつじ
イリオモテヤマネコ,いりおもてやまねこ
先天的,せんてんてき
乗り越し,のりこし
クトゥルフ,くとぅるふ
実用品,じつようひん
ジョーク,じょーく
神話,しんわ
ペンタブレット,ぺんたぶれっと
歩荷,ぼっか
四面楚歌,しめんそか
プラトン,ぷらとん
山海焼き,さんかいやき
太陽暦,たいようれき
ステッキ,すてっき
広告塔,こうこくとう
ハイジャック,はいじゃっく
見晴るかす,みはるかす
クォリティー,くぉりてぃー
愛妻,あいさい
ディミヌエンド,でぃみぬえんど
一休み,ひとやすみ
お疲れ様,おつかれさま
